Date,Country,Region,Business Unit,Account,Scenario,Amount EUR
2025-01-01,Austria,DACH,Industrial Solutions,Revenue,Actual,2149547.22
2025-01-01,Austria,DACH,Industrial Solutions,Material Costs,Actual,-854511.89
2025-01-01,Austria,DACH,Industrial Solutions,Production Costs,Actual,-277138.99
2025-01-01,Austria,DACH,Industrial Solutions,Personnel Costs,Actual,-334876.28
2025-01-01,Austria,DACH,Industrial Solutions,External Services,Actual,-115474.58
2025-01-01,Austria,DACH,Industrial Solutions,Travel Expenses,Actual,-25613.37
2025-01-01,Austria,DACH,Industrial Solutions,IT Expenses,Actual,-21394.81
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Expenses,Actual,-40219.42
2025-01-01,Austria,DACH,Industrial Solutions,Depreciation,Actual,-75234.15
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Income,Actual,8862.13
2025-01-01,Austria,DACH,Industrial Solutions,Revenue,Budget,2172874.83
2025-01-01,Austria,DACH,Industrial Solutions,Material Costs,Budget,-803963.69
2025-01-01,Austria,DACH,Industrial Solutions,Production Costs,Budget,-260744.98
2025-01-01,Austria,DACH,Industrial Solutions,Personnel Costs,Budget,-315066.85
2025-01-01,Austria,DACH,Industrial Solutions,External Services,Budget,-108643.74
2025-01-01,Austria,DACH,Industrial Solutions,Travel Expenses,Budget,-25707.26
2025-01-01,Austria,DACH,Industrial Solutions,IT Expenses,Budget,-21964.53
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Expenses,Budget,-38658.62
2025-01-01,Austria,DACH,Industrial Solutions,Depreciation,Budget,-76050.62
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Income,Budget,8529.58
2025-01-01,Austria,DACH,Industrial Solutions,Revenue,Forecast,2171236.93
2025-01-01,Austria,DACH,Industrial Solutions,Material Costs,Forecast,-805690.25
2025-01-01,Austria,DACH,Industrial Solutions,Production Costs,Forecast,-261304.95
2025-01-01,Austria,DACH,Industrial Solutions,Personnel Costs,Forecast,-315743.48
2025-01-01,Austria,DACH,Industrial Solutions,External Services,Forecast,-108877.06
2025-01-01,Austria,DACH,Industrial Solutions,Travel Expenses,Forecast,-24559.34
2025-01-01,Austria,DACH,Industrial Solutions,IT Expenses,Forecast,-20963.33
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Expenses,Forecast,-38532.88
2025-01-01,Austria,DACH,Industrial Solutions,Depreciation,Forecast,-75993.29
2025-01-01,Austria,DACH,Industrial Solutions,Other Operating Income,Forecast,8333.09
2025-01-01,Austria,DACH,Services,Revenue,Actual,1307095.86
2025-01-01,Austria,DACH,Services,Material Costs,Actual,-243898.1
2025-01-01,Austria,DACH,Services,Production Costs,Actual,-108399.16
2025-01-01,Austria,DACH,Services,Personnel Costs,Actual,-318422.52
2025-01-01,Austria,DACH,Services,External Services,Actual,-101624.21
2025-01-01,Austria,DACH,Services,Travel Expenses,Actual,-15578.91
2025-01-01,Austria,DACH,Services,IT Expenses,Actual,-13088.61
2025-01-01,Austria,DACH,Services,Other Operating Expenses,Actual,-22689.7
2025-01-01,Austria,DACH,Services,Depreciation,Actual,-26141.92
2025-01-01,Austria,DACH,Services,Other Operating Income,Actual,5114.53
2025-01-01,Austria,DACH,Services,Revenue,Budget,1355090.81
2025-01-01,Austria,DACH,Services,Material Costs,Budget,-243916.35
2025-01-01,Austria,DACH,Services,Production Costs,Budget,-108407.26
2025-01-01,Austria,DACH,Services,Personnel Costs,Budget,-318446.34
2025-01-01,Austria,DACH,Services,External Services,Budget,-101631.81
2025-01-01,Austria,DACH,Services,Travel Expenses,Budget,-16315.2
2025-01-01,Austria,DACH,Services,IT Expenses,Budget,-13238.97
2025-01-01,Austria,DACH,Services,Other Operating Expenses,Budget,-24620.73
2025-01-01,Austria,DACH,Services,Depreciation,Budget,-27101.82
2025-01-01,Austria,DACH,Services,Other Operating Income,Budget,5290.14
2025-01-01,Austria,DACH,Services,Revenue,Forecast,1313681.44
2025-01-01,Austria,DACH,Services,Material Costs,Forecast,-235634.96
2025-01-01,Austria,DACH,Services,Production Costs,Forecast,-104726.65
2025-01-01,Austria,DACH,Services,Personnel Costs,Forecast,-307634.53
2025-01-01,Austria,DACH,Services,External Services,Forecast,-98181.23
2025-01-01,Austria,DACH,Services,Travel Expenses,Forecast,-15479.61
2025-01-01,Austria,DACH,Services,IT Expenses,Forecast,-13623.48
2025-01-01,Austria,DACH,Services,Other Operating Expenses,Forecast,-23638.29
2025-01-01,Austria,DACH,Services,Depreciation,Forecast,-26273.63
2025-01-01,Austria,DACH,Services,Other Operating Income,Forecast,5032.41
2025-01-01,Austria,DACH,Equipment,Revenue,Actual,1636932.51
2025-01-01,Austria,DACH,Equipment,Material Costs,Actual,-669396.62
2025-01-01,Austria,DACH,Equipment,Production Costs,Actual,-233510.45
2025-01-01,Austria,DACH,Equipment,Personnel Costs,Actual,-186808.36
2025-01-01,Austria,DACH,Equipment,External Services,Actual,-62269.45
2025-01-01,Austria,DACH,Equipment,Travel Expenses,Actual,-18860.5
2025-01-01,Austria,DACH,Equipment,IT Expenses,Actual,-16433.77
2025-01-01,Austria,DACH,Equipment,Other Operating Expenses,Actual,-30008.75
2025-01-01,Austria,DACH,Equipment,Depreciation,Actual,-73661.96
2025-01-01,Austria,DACH,Equipment,Other Operating Income,Actual,6592.61
2025-01-01,Austria,DACH,Equipment,Revenue,Budget,1726878.62
2025-01-01,Austria,DACH,Equipment,Material Costs,Budget,-742557.81
2025-01-01,Austria,DACH,Equipment,Production Costs,Budget,-259031.79
2025-01-01,Austria,DACH,Equipment,Personnel Costs,Budget,-207225.43
2025-01-01,Austria,DACH,Equipment,External Services,Budget,-69075.14
2025-01-01,Austria,DACH,Equipment,Travel Expenses,Budget,-20650.65
2025-01-01,Austria,DACH,Equipment,IT Expenses,Budget,-17164.79
2025-01-01,Austria,DACH,Equipment,Other Operating Expenses,Budget,-29934.86
2025-01-01,Austria,DACH,Equipment,Depreciation,Budget,-77709.54
2025-01-01,Austria,DACH,Equipment,Other Operating Income,Budget,6708.62
2025-01-01,Austria,DACH,Equipment,Revenue,Forecast,1680211.06
2025-01-01,Austria,DACH,Equipment,Material Costs,Forecast,-718497.07
2025-01-01,Austria,DACH,Equipment,Production Costs,Forecast,-250638.51
2025-01-01,Austria,DACH,Equipment,Personnel Costs,Forecast,-200510.81
2025-01-01,Austria,DACH,Equipment,External Services,Forecast,-66836.94
2025-01-01,Austria,DACH,Equipment,Travel Expenses,Forecast,-20801.96
2025-01-01,Austria,DACH,Equipment,IT Expenses,Forecast,-16917.58
2025-01-01,Austria,DACH,Equipment,Other Operating Expenses,Forecast,-28910.77
2025-01-01,Austria,DACH,Equipment,Depreciation,Forecast,-75609.5
2025-01-01,Austria,DACH,Equipment,Other Operating Income,Forecast,6807.97
2025-01-01,Germany,DACH,Industrial Solutions,Revenue,Actual,2846913.34
2025-01-01,Germany,DACH,Industrial Solutions,Material Costs,Actual,-1080508.22
2025-01-01,Germany,DACH,Industrial Solutions,Production Costs,Actual,-350435.1
2025-01-01,Germany,DACH,Industrial Solutions,Personnel Costs,Actual,-423442.41
2025-01-01,Germany,DACH,Industrial Solutions,External Services,Actual,-146014.62
2025-01-01,Germany,DACH,Industrial Solutions,Travel Expenses,Actual,-35117.42
2025-01-01,Germany,DACH,Industrial Solutions,IT Expenses,Actual,-27991.3
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Expenses,Actual,-50848.3
2025-01-01,Germany,DACH,Industrial Solutions,Depreciation,Actual,-99641.97
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Income,Actual,11538.55
2025-01-01,Germany,DACH,Industrial Solutions,Revenue,Budget,2902525.2
2025-01-01,Germany,DACH,Industrial Solutions,Material Costs,Budget,-1073934.32
2025-01-01,Germany,DACH,Industrial Solutions,Production Costs,Budget,-348303.02
2025-01-01,Germany,DACH,Industrial Solutions,Personnel Costs,Budget,-420866.15
2025-01-01,Germany,DACH,Industrial Solutions,External Services,Budget,-145126.26
2025-01-01,Germany,DACH,Industrial Solutions,Travel Expenses,Budget,-35849.66
2025-01-01,Germany,DACH,Industrial Solutions,IT Expenses,Budget,-28747.09
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Expenses,Budget,-52002.96
2025-01-01,Germany,DACH,Industrial Solutions,Depreciation,Budget,-101588.38
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Income,Budget,11096.31
2025-01-01,Germany,DACH,Industrial Solutions,Revenue,Forecast,2885992.25
2025-01-01,Germany,DACH,Industrial Solutions,Material Costs,Forecast,-1052489.17
2025-01-01,Germany,DACH,Industrial Solutions,Production Costs,Forecast,-341347.84
2025-01-01,Germany,DACH,Industrial Solutions,Personnel Costs,Forecast,-412461.97
2025-01-01,Germany,DACH,Industrial Solutions,External Services,Forecast,-142228.27
2025-01-01,Germany,DACH,Industrial Solutions,Travel Expenses,Forecast,-35476.09
2025-01-01,Germany,DACH,Industrial Solutions,IT Expenses,Forecast,-29642.74
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Expenses,Forecast,-51854.34
2025-01-01,Germany,DACH,Industrial Solutions,Depreciation,Forecast,-101009.73
2025-01-01,Germany,DACH,Industrial Solutions,Other Operating Income,Forecast,12007.36
2025-01-01,Germany,DACH,Services,Revenue,Actual,1861510.15
2025-01-01,Germany,DACH,Services,Material Costs,Actual,-368832.98
2025-01-01,Germany,DACH,Services,Production Costs,Actual,-163925.77
2025-01-01,Germany,DACH,Services,Personnel Costs,Actual,-481531.95
2025-01-01,Germany,DACH,Services,External Services,Actual,-153680.41
2025-01-01,Germany,DACH,Services,Travel Expenses,Actual,-22314.11
2025-01-01,Germany,DACH,Services,IT Expenses,Actual,-19197.62
2025-01-01,Germany,DACH,Services,Other Operating Expenses,Actual,-31312.68
2025-01-01,Germany,DACH,Services,Depreciation,Actual,-37230.2
2025-01-01,Germany,DACH,Services,Other Operating Income,Actual,7690.84
2025-01-01,Germany,DACH,Services,Revenue,Budget,1830408.98
2025-01-01,Germany,DACH,Services,Material Costs,Budget,-329473.62
2025-01-01,Germany,DACH,Services,Production Costs,Budget,-146432.72
2025-01-01,Germany,DACH,Services,Personnel Costs,Budget,-430146.11
2025-01-01,Germany,DACH,Services,External Services,Budget,-137280.67
2025-01-01,Germany,DACH,Services,Travel Expenses,Budget,-22022.27
2025-01-01,Germany,DACH,Services,IT Expenses,Budget,-18194.63
2025-01-01,Germany,DACH,Services,Other Operating Expenses,Budget,-33022.94
2025-01-01,Germany,DACH,Services,Depreciation,Budget,-36608.18
2025-01-01,Germany,DACH,Services,Other Operating Income,Budget,6739.55
2025-01-01,Germany,DACH,Services,Revenue,Forecast,1852856.09
2025-01-01,Germany,DACH,Services,Material Costs,Forecast,-332634.93
2025-01-01,Germany,DACH,Services,Production Costs,Forecast,-147837.75
2025-01-01,Germany,DACH,Services,Personnel Costs,Forecast,-434273.38
2025-01-01,Germany,DACH,Services,External Services,Forecast,-138597.89
2025-01-01,Germany,DACH,Services,Travel Expenses,Forecast,-22472.48
2025-01-01,Germany,DACH,Services,IT Expenses,Forecast,-19076.23
2025-01-01,Germany,DACH,Services,Other Operating Expenses,Forecast,-32919.28
2025-01-01,Germany,DACH,Services,Depreciation,Forecast,-37057.12
2025-01-01,Germany,DACH,Services,Other Operating Income,Forecast,7171.74
2025-01-01,Germany,DACH,Equipment,Revenue,Actual,2382462.2
2025-01-01,Germany,DACH,Equipment,Material Costs,Actual,-1010890.81
2025-01-01,Germany,DACH,Equipment,Production Costs,Actual,-352636.33
2025-01-01,Germany,DACH,Equipment,Personnel Costs,Actual,-282109.06
2025-01-01,Germany,DACH,Equipment,External Services,Actual,-94036.35
2025-01-01,Germany,DACH,Equipment,Travel Expenses,Actual,-29029.77
2025-01-01,Germany,DACH,Equipment,IT Expenses,Actual,-23870.88
2025-01-01,Germany,DACH,Equipment,Other Operating Expenses,Actual,-43922.81
2025-01-01,Germany,DACH,Equipment,Depreciation,Actual,-107210.8
2025-01-01,Germany,DACH,Equipment,Other Operating Income,Actual,9262.23
2025-01-01,Germany,DACH,Equipment,Revenue,Budget,2294600.33
2025-01-01,Germany,DACH,Equipment,Material Costs,Budget,-986678.14
2025-01-01,Germany,DACH,Equipment,Production Costs,Budget,-344190.05
2025-01-01,Germany,DACH,Equipment,Personnel Costs,Budget,-275352.04
2025-01-01,Germany,DACH,Equipment,External Services,Budget,-91784.01
2025-01-01,Germany,DACH,Equipment,Travel Expenses,Budget,-27264.54
2025-01-01,Germany,DACH,Equipment,IT Expenses,Budget,-22766.06
2025-01-01,Germany,DACH,Equipment,Other Operating Expenses,Budget,-39791.62
2025-01-01,Germany,DACH,Equipment,Depreciation,Budget,-103257.01
2025-01-01,Germany,DACH,Equipment,Other Operating Income,Budget,9287.12
2025-01-01,Germany,DACH,Equipment,Revenue,Forecast,2349086.27
2025-01-01,Germany,DACH,Equipment,Material Costs,Forecast,-1013271.42
2025-01-01,Germany,DACH,Equipment,Production Costs,Forecast,-353466.77
2025-01-01,Germany,DACH,Equipment,Personnel Costs,Forecast,-282773.42
2025-01-01,Germany,DACH,Equipment,External Services,Forecast,-94257.81
2025-01-01,Germany,DACH,Equipment,Travel Expenses,Forecast,-28193.36
2025-01-01,Germany,DACH,Equipment,IT Expenses,Forecast,-23380.65
2025-01-01,Germany,DACH,Equipment,Other Operating Expenses,Forecast,-40787.38
2025-01-01,Germany,DACH,Equipment,Depreciation,Forecast,-105708.88
2025-01-01,Germany,DACH,Equipment,Other Operating Income,Forecast,9238.24
2025-01-01,France,Western Europe,Industrial Solutions,Revenue,Actual,2309282.62
2025-01-01,France,Western Europe,Industrial Solutions,Material Costs,Actual,-863065.45
2025-01-01,France,Western Europe,Industrial Solutions,Production Costs,Actual,-279913.12
2025-01-01,France,Western Europe,Industrial Solutions,Personnel Costs,Actual,-338228.35
2025-01-01,France,Western Europe,Industrial Solutions,External Services,Actual,-116630.47
2025-01-01,France,Western Europe,Industrial Solutions,Travel Expenses,Actual,-29279.46
2025-01-01,France,Western Europe,Industrial Solutions,IT Expenses,Actual,-23173.46
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Expenses,Actual,-41834.73
2025-01-01,France,Western Europe,Industrial Solutions,Depreciation,Actual,-80824.89
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Income,Actual,9209.62
2025-01-01,France,Western Europe,Industrial Solutions,Revenue,Budget,2366228.52
2025-01-01,France,Western Europe,Industrial Solutions,Material Costs,Budget,-875504.55
2025-01-01,France,Western Europe,Industrial Solutions,Production Costs,Budget,-283947.42
2025-01-01,France,Western Europe,Industrial Solutions,Personnel Costs,Budget,-343103.14
2025-01-01,France,Western Europe,Industrial Solutions,External Services,Budget,-118311.43
2025-01-01,France,Western Europe,Industrial Solutions,Travel Expenses,Budget,-26760.25
2025-01-01,France,Western Europe,Industrial Solutions,IT Expenses,Budget,-23649.74
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Expenses,Budget,-42656.25
2025-01-01,France,Western Europe,Industrial Solutions,Depreciation,Budget,-82818.0
