Date,Country,Business Unit,Revenue,COGS,Accounts Receivable,Inventory,Accounts Payable,Operating Working Capital,DSO,DIO,DPO,CCC
2025-01-01,Austria,Industrial Solutions,9423951.98,6581585.76,14795039.95,16658146.77,9980514.87,21472671.85,48.67,78.46,47.01,80.12
2025-01-01,Austria,Services,6350556.92,3400194.61,10677232.12,8607232.7,5330545.31,13953919.51,52.12,78.47,48.6,81.99
2025-01-01,Austria,Equipment,6936580.23,5135151.07,10954747.55,13511650.71,7799409.23,16666989.04,48.96,81.57,47.08,83.44
2025-01-01,Germany,Industrial Solutions,10585172.38,7113374.33,12994646.03,11883389.4,9516753.46,15361281.97,38.06,51.79,41.47,48.37
2025-01-01,Germany,Services,7719846.07,4154074.63,10082785.33,6912252.74,5613266.55,11381771.51,40.49,51.58,41.89,50.18
2025-01-01,Germany,Equipment,8753647.52,6189055.58,10739441.97,11442976.37,8156986.6,14025431.75,38.03,57.32,40.86,54.49
2025-01-01,France,Industrial Solutions,10660626.57,7105919.36,21769584.48,13653020.43,8953834.56,26468770.36,63.3,59.56,39.06,83.8
2025-01-01,France,Services,7556052.77,4107109.52,16174462.73,7769211.19,5016443.13,18927230.79,66.36,58.64,37.86,87.14
2025-01-01,France,Equipment,7728802.59,5563127.51,15752824.3,11583370.23,6720620.24,20615574.29,63.18,64.55,37.45,90.28
2025-01-01,Italy,Industrial Solutions,8779141.43,5902373.15,15594650.73,12410628.74,13449522.79,14555756.67,55.07,65.18,70.64,49.61
2025-01-01,Italy,Services,6297537.09,3520823.15,12093192.22,7557256.84,8225429.71,11425019.35,59.53,66.54,72.42,53.65
2025-01-01,Italy,Equipment,6959339.39,4887007.32,12121989.15,10734067.96,11231513.67,11624543.45,54.0,68.09,71.25,50.84
2025-01-01,Switzerland,Industrial Solutions,7552146.97,5065006.27,7949530.23,7289235.8,6449589.91,8789176.12,32.63,44.61,39.47,37.77
2025-01-01,Switzerland,Services,5326350.61,2866378.24,6122659.56,4054657.23,3806599.18,6370717.6,35.63,43.85,41.17,38.32
